~id,~label,first_name,last_name,email,phone,date_of_birth,region,country,risk_score,created_date,customer_id,account_type,balance,currency,status,opened_date,device_type,operating_system,fingerprint,ip_address_id,first_seen,merchant_name,category,location,latitude,longitude,risk_tier,registration_date,address,geo_location,is_vpn,is_tor,isp,account_id,merchant_id,amount,timestamp,channel
C0016,Customer,Charles,Wagner,nicole35@example.com,+61.7.9808.4124,1957-07-15,Singapore,SG,0.083,2023-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0017,Customer,Joseph,Kelly,gracefarrell@example.net,801-264-0052x427,1955-05-17,Brisbane,AU,0.894,2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0018,Customer,Alan,Aguilar,tanderson@example.com,(03)31586923,2004-09-07,Brisbane,AU,0.211,2022-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0019,Customer,Harry,Patton,josephcobb@example.org,2735375433,1972-08-03,Sydney,AU,0.95,2019-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0020,Customer,Michael,Matthews,matthew14@example.org,+44118 4960019,1973-10-11,Melbourne,AU,0.049,2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0021,Customer,Catherine,Clark,conorthomas@example.com,0483 561 595,2007-12-17,Melbourne,AU,0.205,2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0022,Customer,Dylan,Miles,angela36@example.net,+1-729-994-6804x43699,1980-05-04,Sydney,AU,0.069,2020-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0023,Customer,Elaine,Thompson,zachary95@example.org,+61.443.320.037,2008-01-29,Brisbane,AU,0.796,2022-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0024,Customer,Olivia,Chamberlain,phughes@example.org,+44292018016,1962-03-22,Brisbane,AU,0.064,2023-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0025,Customer,Brent,Lowery,danderson@example.net,+44(0)1914960957,2005-09-18,Perth,AU,0.043,2023-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0026,Customer,Maria,Williams,wcole@example.org,+44(0)118 4960873,1980-03-09,Brisbane,AU,0.224,2021-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0027,Customer,Joseph,Orozco,edwardreyes@example.org,+44117 496 0166,1987-03-06,Perth,AU,0.906,2022-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0028,Customer,Jamie,Price,baxterbeverley@example.com,9545668893,1979-11-29,Brisbane,AU,0.733,2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0029,Customer,Matthew,Roberts,jadebell@example.net,+44113 496 0699,1952-02-05,Sydney,AU,0.258,2022-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0030,Customer,Michelle,Williams,jason55@example.com,001-564-217-0805x31003,1960-08-15,Melbourne,AU,0.903,2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0031,Customer,Elizabeth,May,katie29@example.net,(01632) 960 124,1989-08-19,Sydney,AU,0.115,2021-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0032,Customer,Sian,Sanders,keithwright@example.net,49190586,1975-06-21,Perth,AU,0.159,2023-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0033,Customer,Maurice,Atkinson,hamiltonmichael@example.com,(0116) 496 0628,1968-08-18,Sydney,AU,0.731,2023-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0034,Customer,Steven,Wright,mariahmiller@example.com,+61.8.5075.2735,1973-05-31,Brisbane,AU,0.231,2021-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0035,Customer,Mark,Wells,jenniferfreeman@example.org,0161 4960770,1970-04-11,Brisbane,AU,0.13,2022-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0036,Customer,Norman,Beck,wtran@example.com,+441914960557,1971-02-13,Brisbane,AU,0.805,2020-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0037,Customer,Jennifer,Wilson,alexstevens@example.com,001-498-694-1343x5240,1953-12-18,Melbourne,AU,0.261,2021-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0038,Customer,Malcolm,Taylor,salasaudrey@example.com,252.404.7116x719,2005-06-14,Melbourne,AU,0.046,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0039,Customer,Victoria,Grant,kimberlyjames@example.com,001-564-699-0913,1955-10-11,Sydney,AU,0.18,2021-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0040,Customer,Andrea,Smith,ocarter@example.com,0121 496 0713,2003-11-12,Sydney,AU,0.279,2020-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0041,Customer,Danny,Holland,charlesmartin@example.com,+44(0)1632960947,1982-02-23,London,UK,0.072,2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0042,Customer,Sophie,Mason,cmiller@example.com,+44(0)121 4960940,1965-10-30,Sydney,AU,0.026,2023-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0043,Customer,Michael,Perry,millerclive@example.com,+44(0)28 9018742,1979-11-30,Sydney,AU,0.85,2023-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0044,Customer,Theodore,Cook,taylorhugh@example.com,+44161 496 0468,1981-03-15,Melbourne,AU,0.039,2021-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0045,Customer,Marcus,Hancock,mgutierrez@example.net,+1-277-503-4824x771,1961-01-11,Melbourne,AU,0.08,2023-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0046,Customer,Andrea,Walker,pvalentine@example.org,001-548-446-7737x826,1969-01-19,Singapore,SG,0.289,2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0047,Customer,Vincent,Campbell,cgrimes@example.net,(858)286-7533x963,2000-12-05,Perth,AU,0.214,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0048,Customer,Vanessa,Robinson,martineztammy@example.com,+61.2.8702.6217,1973-04-16,Brisbane,AU,0.131,2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0049,Customer,Jonathan,Phelps,owatson@example.net,+1-309-313-4316,1961-07-29,Sydney,AU,0.074,2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0050,Customer,Brandon,Carter,hthomas@example.com,+4429 2018 0222,1991-09-24,Sydney,AU,0.176,2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0051,Customer,Roberta,Hall,kelly40@example.com,+1-982-317-5946x47436,1976-03-15,Melbourne,AU,0.002,2022-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0052,Customer,Bryan,Harris,krobertson@example.net,0114 496 0974,1991-07-25,Sydney,AU,0.069,2020-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0053,Customer,Karl,Smith,teresaglover@example.net,+44(0)113 4960470,1975-01-30,New York,US,0.021,2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0054,Customer,Renee,Burgess,davidryan@example.com,+441614960424,2005-02-18,Perth,AU,0.064,2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0055,Customer,Taylor,Taylor,zcoffey@example.net,860-748-1754,1996-03-05,Perth,AU,0.073,2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0056,Customer,Christine,Mills,eileencollins@example.com,(0121)4960612,1952-10-13,Perth,AU,0.057,2023-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0057,Customer,Colton,Kirk,ellen86@example.net,+441632 960 261,1992-02-24,Perth,AU,0.106,2021-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0058,Customer,Hannah,Ramos,cory58@example.net,2642317139,1966-10-29,Sydney,AU,0.202,2023-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0059,Customer,Casey,Martin,markhernandez@example.net,(03) 2842 1020,2004-01-05,Melbourne,AU,0.018,2021-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0060,Customer,Grant,Martinez,reesethomas@example.com,+4420 74960178,1992-02-10,Melbourne,AU,0.075,2023-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0061,Customer,Stephen,Brown,gsimmons@example.com,(0151)4960115,1960-05-06,Perth,AU,0.042,2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0062,Customer,Claudia,Parry,hvang@example.com,896.311.8367x36576,1979-04-18,Perth,AU,0.075,2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0063,Customer,Stephanie,Preston,deckerchristopher@example.org,+44(0)1632 960 528,1990-02-28,Lagos,NG,0.242,2023-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0064,Customer,Elizabeth,Gomez,utaylor@example.org,+1-745-319-8327x315,1989-04-27,Melbourne,AU,0.015,2022-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0065,Customer,Brenda,Davies,johnsylvia@example.net,8243455022,2000-09-03,Sydney,AU,0.291,2019-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0066,Customer,Julie,Bennett,eric45@example.net,+44(0)114 496 0022,1953-08-21,Perth,AU,0.05,2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0067,Customer,Scott,Tucker,wnelson@example.net,(08)14978403,1991-01-14,Melbourne,AU,0.259,2019-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0068,Customer,Kevin,Saunders,mark07@example.net,(826)283-8851,1951-07-12,Brisbane,AU,0.114,2019-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0069,Customer,Barbara,Ahmed,zharris@example.org,(897)351-6136,1971-05-14,London,UK,0.278,2021-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0070,Customer,Mason,Jones,hillgordon@example.com,001-923-912-4329x2127,1988-08-31,London,UK,0.744,2021-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0071,Customer,Guy,Gonzales,ywelch@example.com,01144960581,1981-09-03,Lagos,NG,0.727,2019-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0072,Customer,Miguel,Jones,jford@example.net,+61.3.5978.2071,1998-11-11,Sydney,AU,0.174,2023-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0073,Customer,Kyle,Wright,nwarren@example.org,(846)665-9051x518,1999-07-03,Brisbane,AU,0.986,2020-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0074,Customer,Christopher,Dale,tammy62@example.net,+44(0)114 496 0486,2004-02-15,Melbourne,AU,0.017,2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0075,Customer,Rita,Turner,willismary@example.net,4544235733,1970-05-19,Melbourne,AU,0.021,2023-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0076,Customer,Kerry,Stanley,jodiepatel@example.org,+61 427 065 379,2001-06-14,Melbourne,AU,0.804,2022-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0077,Customer,Amanda,Sheppard,michealvalentine@example.com,001-346-388-6239x24075,1955-12-17,Perth,AU,0.942,2021-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0078,Customer,Rebecca,Guerra,lisawilkerson@example.org,2687536153,2007-05-11,Sydney,AU,0.126,2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0079,Customer,Devin,Lowery,katherineharrison@example.net,0432.8986,2003-01-26,Brisbane,AU,0.28,2021-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0080,Customer,David,Barnes,fcollins@example.net,(0113) 4960893,1960-01-09,Brisbane,AU,0.072,2022-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0081,Customer,Christina,Duncan,millsmichael@example.net,+44(0)161 496 0880,1982-03-31,Brisbane,AU,0.137,2022-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0082,Customer,Jon,Kelly,john19@example.net,(405)385-2772,2003-01-27,Melbourne,AU,0.003,2019-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0083,Customer,James,Blackwell,zachary87@example.com,+61-434-505-415,1977-06-22,Sydney,AU,0.022,2022-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0084,Customer,Matthew,Crawford,sandra84@example.org,0151 496 0169,1987-05-16,Brisbane,AU,0.04,2021-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0085,Customer,Christopher,Doyle,cjackson@example.com,4592640165,2008-01-02,Sydney,AU,0.264,2022-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0086,Customer,David,Osborne,patrick90@example.net,+61.475.571.928,1977-05-04,Melbourne,AU,0.719,2021-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0087,Customer,Susan,Fitzgerald,hmcintyre@example.com,001-973-394-7312x172,2007-10-16,Brisbane,AU,0.184,2021-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0088,Customer,Gary,Freeman,jenniferho@example.net,(03)13237058,1975-05-11,Sydney,AU,0.2,2023-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0089,Customer,Cheryl,Jones,xfox@example.com,+44114 496 0251,1981-12-14,Sydney,AU,0.282,2023-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0090,Customer,David,Dawson,ryanbartlett@example.org,0424 225 358,2007-10-26,Sydney,AU,0.267,2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0091,Customer,Cynthia,Robertson,jayne81@example.net,+44116 4960992,1995-01-29,Brisbane,AU,0.987,2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0092,Customer,Luke,Miller,naomi39@example.com,+4428 9018078,1993-12-07,Brisbane,AU,0.061,2023-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0093,Customer,Linda,Stevenson,barkereric@example.com,335.792.5556x258,1981-12-30,Brisbane,AU,0.152,2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0094,Customer,John,Williams,kwright@example.com,(01632) 960532,1985-04-12,Sydney,AU,0.028,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0095,Customer,Tyler,Landry,nmorgan@example.net,3048797480,1968-04-01,Brisbane,AU,0.013,2022-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0096,Customer,Michael,Williams,lindafisher@example.org,478.549.9121x65585,1984-11-24,Melbourne,AU,0.191,2023-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0097,Customer,Brandon,Reeves,ghernandez@example.org,+1-652-969-4958x887,1975-04-27,Perth,AU,0.166,2019-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0098,Customer,Brandy,Carr,andersonarthur@example.net,(020) 7496 0309,1961-11-09,Sydney,AU,0.034,2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0099,Customer,Lorraine,Johnson,bateschloe@example.com,(563)768-9702,1982-10-21,Brisbane,AU,0.726,2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0100,Customer,Sue,Barr,erica49@example.com,0784344375,1973-12-27,Brisbane,AU,0.129,2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0001,Account,,,,,,,,,,C0001,savings,46584.62,AUD,active,2020-07-09,,,,,,,,,,,,,,,,,,,,,,
A0002,Account,,,,,,,,,,C0002,checking,31906.44,AUD,active,2022-11-18,,,,,,,,,,,,,,,,,,,,,,
A0003,Account,,,,,,,,,,C0003,credit_card,653.65,AUD,active,2021-08-13,,,,,,,,,,,,,,,,,,,,,,
A0004,Account,,,,,,,,,,C0004,checking,146088.63,AUD,active,2023-06-26,,,,,,,,,,,,,,,,,,,,,,
A0005,Account,,,,,,,,,,C0005,savings,129758.55,AUD,active,2023-04-16,,,,,,,,,,,,,,,,,,,,,,
A0006,Account,,,,,,,,,,C0006,checking,4205.56,AUD,active,2021-03-28,,,,,,,,,,,,,,,,,,,,,,
A0007,Account,,,,,,,,,,C0007,checking,120434.15,AUD,active,2021-03-23,,,,,,,,,,,,,,,,,,,,,,
A0008,Account,,,,,,,,,,C0008,checking,24300.08,AUD,active,2020-05-03,,,,,,,,,,,,,,,,,,,,,,
A0009,Account,,,,,,,,,,C0009,checking,130888.93,AUD,active,2023-12-07,,,,,,,,,,,,,,,,,,,,,,
A0010,Account,,,,,,,,,,C0010,savings,30336.14,AUD,active,2022-10-17,,,,,,,,,,,,,,,,,,,,,,
A0011,Account,,,,,,,,,,C0011,checking,46126.03,AUD,active,2023-03-07,,,,,,,,,,,,,,,,,,,,,,
A0012,Account,,,,,,,,,,C0012,savings,4037.83,AUD,active,2020-11-29,,,,,,,,,,,,,,,,,,,,,,
A0013,Account,,,,,,,,,,C0013,checking,49575.16,AUD,active,2023-07-11,,,,,,,,,,,,,,,,,,,,,,
A0014,Account,,,,,,,,,,C0014,checking,52996.35,AUD,active,2021-02-26,,,,,,,,,,,,,,,,,,,,,,
A0015,Account,,,,,,,,,,C0015,checking,102087.96,AUD,active,2022-12-18,,,,,,,,,,,,,,,,,,,,,,
A0016,Account,,,,,,,,,,C0016,checking,140915.95,AUD,active,2020-08-02,,,,,,,,,,,,,,,,,,,,,,
A0017,Account,,,,,,,,,,C0017,checking,27195.89,AUD,active,2022-08-15,,,,,,,,,,,,,,,,,,,,,,
A0018,Account,,,,,,,,,,C0018,savings,16706.18,AUD,active,2022-07-01,,,,,,,,,,,,,,,,,,,,,,
A0019,Account,,,,,,,,,,C0019,checking,109417.49,AUD,active,2021-01-12,,,,,,,,,,,,,,,,,,,,,,
A0020,Account,,,,,,,,,,C0020,checking,91128.22,AUD,active,2022-11-07,,,,,,,,,,,,,,,,,,,,,,
A0021,Account,,,,,,,,,,C0021,savings,58086.72,AUD,suspended,2020-12-17,,,,,,,,,,,,,,,,,,,,,,
A0022,Account,,,,,,,,,,C0022,savings,38581.01,AUD,active,2020-12-28,,,,,,,,,,,,,,,,,,,,,,
A0023,Account,,,,,,,,,,C0023,savings,78228.09,AUD,active,2020-06-05,,,,,,,,,,,,,,,,,,,,,,
A0024,Account,,,,,,,,,,C0024,credit_card,34568.65,AUD,closed,2021-05-29,,,,,,,,,,,,,,,,,,,,,,
A0025,Account,,,,,,,,,,C0025,savings,54951.11,AUD,active,2022-01-04,,,,,,,,,,,,,,,,,,,,,,
A0026,Account,,,,,,,,,,C0026,credit_card,45642.4,AUD,suspended,2022-11-25,,,,,,,,,,,,,,,,,,,,,,
A0027,Account,,,,,,,,,,C0027,checking,99676.43,AUD,active,2020-01-10,,,,,,,,,,,,,,,,,,,,,,
A0028,Account,,,,,,,,,,C0028,credit_card,44502.58,AUD,active,2023-12-15,,,,,,,,,,,,,,,,,,,,,,
A0029,Account,,,,,,,,,,C0029,checking,100200.49,AUD,active,2021-09-25,,,,,,,,,,,,,,,,,,,,,,
A0030,Account,,,,,,,,,,C0030,checking,104732.66,AUD,active,2023-12-24,,,,,,,,,,,,,,,,,,,,,,
A0031,Account,,,,,,,,,,C0031,savings,29180.09,AUD,closed,2022-01-12,,,,,,,,,,,,,,,,,,,,,,
A0032,Account,,,,,,,,,,C0032,checking,101759.03,AUD,active,2020-11-06,,,,,,,,,,,,,,,,,,,,,,
A0033,Account,,,,,,,,,,C0033,credit_card,26300.79,AUD,active,2021-05-14,,,,,,,,,,,,,,,,,,,,,,
A0034,Account,,,,,,,,,,C0034,credit_card,40854.88,AUD,active,2022-10-01,,,,,,,,,,,,,,,,,,,,,,
A0035,Account,,,,,,,,,,C0035,checking,31922.31,AUD,suspended,2023-11-12,,,,,,,,,,,,,,,,,,,,,,
A0036,Account,,,,,,,,,,C0036,credit_card,31008.81,AUD,active,2022-10-11,,,,,,,,,,,,,,,,,,,,,,
A0037,Account,,,,,,,,,,C0037,checking,66602.89,AUD,active,2020-12-27,,,,,,,,,,,,,,,,,,,,,,
A0038,Account,,,,,,,,,,C0038,credit_card,21025.24,AUD,active,2023-02-22,,,,,,,,,,,,,,,,,,,,,,
A0039,Account,,,,,,,,,,C0039,credit_card,-336.25,AUD,active,2023-08-14,,,,,,,,,,,,,,,,,,,,,,
A0040,Account,,,,,,,,,,C0040,credit_card,29811.75,AUD,active,2023-11-20,,,,,,,,,,,,,,,,,,,,,,
A0041,Account,,,,,,,,,,C0041,savings,122854.31,AUD,active,2021-10-12,,,,,,,,,,,,,,,,,,,,,,
A0042,Account,,,,,,,,,,C0042,credit_card,12073.07,AUD,active,2023-12-22,,,,,,,,,,,,,,,,,,,,,,
A0043,Account,,,,,,,,,,C0043,savings,4151.6,AUD,active,2023-07-23,,,,,,,,,,,,,,,,,,,,,,
A0044,Account,,,,,,,,,,C0044,checking,91885.46,AUD,active,2023-05-10,,,,,,,,,,,,,,,,,,,,,,
A0045,Account,,,,,,,,,,C0045,checking,62458.93,AUD,closed,2020-10-17,,,,,,,,,,,,,,,,,,,,,,
A0046,Account,,,,,,,,,,C0046,credit_card,5693.94,AUD,active,2023-09-18,,,,,,,,,,,,,,,,,,,,,,
A0047,Account,,,,,,,,,,C0047,checking,60248.1,AUD,active,2023-09-24,,,,,,,,,,,,,,,,,,,,,,
A0048,Account,,,,,,,,,,C0048,credit_card,32819.23,AUD,active,2020-01-16,,,,,,,,,,,,,,,,,,,,,,
A0049,Account,,,,,,,,,,C0049,checking,33216.75,AUD,active,2022-06-02,,,,,,,,,,,,,,,,,,,,,,
A0050,Account,,,,,,,,,,C0050,checking,8007.65,AUD,active,2020-06-16,,,,,,,,,,,,,,,,,,,,,,
A0051,Account,,,,,,,,,,C0051,savings,68741.04,AUD,active,2021-03-19,,,,,,,,,,,,,,,,,,,,,,
A0052,Account,,,,,,,,,,C0052,credit_card,24212.25,AUD,active,2022-09-24,,,,,,,,,,,,,,,,,,,,,,
A0053,Account,,,,,,,,,,C0053,credit_card,12451.39,AUD,active,2022-03-26,,,,,,,,,,,,,,,,,,,,,,
A0054,Account,,,,,,,,,,C0054,credit_card,39825.36,AUD,active,2023-10-14,,,,,,,,,,,,,,,,,,,,,,
A0055,Account,,,,,,,,,,C0055,checking,124670.09,AUD,active,2023-08-16,,,,,,,,,,,,,,,,,,,,,,
A0056,Account,,,,,,,,,,C0056,checking,134632.61,AUD,active,2021-12-29,,,,,,,,,,,,,,,,,,,,,,
A0057,Account,,,,,,,,,,C0057,checking,39249.14,AUD,active,2020-10-27,,,,,,,,,,,,,,,,,,,,,,
A0058,Account,,,,,,,,,,C0058,credit_card,10252.12,AUD,active,2021-05-29,,,,,,,,,,,,,,,,,,,,,,
A0059,Account,,,,,,,,,,C0059,checking,94198.89,AUD,active,2023-02-10,,,,,,,,,,,,,,,,,,,,,,
A0060,Account,,,,,,,,,,C0060,checking,12083.76,AUD,active,2022-10-05,,,,,,,,,,,,,,,,,,,,,,
A0061,Account,,,,,,,,,,C0061,savings,41121.41,AUD,active,2023-01-22,,,,,,,,,,,,,,,,,,,,,,
A0062,Account,,,,,,,,,,C0062,credit_card,-568.23,AUD,active,2020-01-23,,,,,,,,,,,,,,,,,,,,,,
A0063,Account,,,,,,,,,,C0063,savings,57763.78,AUD,active,2021-06-08,,,,,,,,,,,,,,,,,,,,,,
A0064,Account,,,,,,,,,,C0064,credit_card,6767.41,AUD,active,2022-06-02,,,,,,,,,,,,,,,,,,,,,,
A0065,Account,,,,,,,,,,C0065,checking,49966.77,AUD,active,2023-03-23,,,,,,,,,,,,,,,,,,,,,,
A0066,Account,,,,,,,,,,C0066,checking,9808.72,AUD,active,2020-09-30,,,,,,,,,,,,,,,,,,,,,,
A0067,Account,,,,,,,,,,C0067,checking,135773.35,AUD,suspended,2023-08-23,,,,,,,,,,,,,,,,,,,,,,
A0068,Account,,,,,,,,,,C0068,credit_card,-3925.74,AUD,suspended,2023-10-26,,,,,,,,,,,,,,,,,,,,,,
A0069,Account,,,,,,,,,,C0069,checking,71808.47,AUD,active,2023-07-09,,,,,,,,,,,,,,,,,,,,,,
A0070,Account,,,,,,,,,,C0070,checking,113144.53,AUD,active,2022-03-12,,,,,,,,,,,,,,,,,,,,,,
A0071,Account,,,,,,,,,,C0071,credit_card,36113.36,AUD,active,2020-05-15,,,,,,,,,,,,,,,,,,,,,,
A0072,Account,,,,,,,,,,C0072,credit_card,44379.62,AUD,active,2022-11-06,,,,,,,,,,,,,,,,,,,,,,
A0073,Account,,,,,,,,,,C0073,savings,41303.83,AUD,active,2020-10-15,,,,,,,,,,,,,,,,,,,,,,
